지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),합계 일조시간(hr)
261,해남,2014-05-01,14.4,6.3,21.5,0.0,1.5,8.5,71.5,12.5
261,해남,2014-05-02,15.2,7.8,22.7,0.0,2.3,10.4,74.9,8.7
261,해남,2014-05-03,13.9,8.0,20.4,0.0,2.7,5.0,58.6,12.0
261,해남,2014-05-04,13.4,6.9,19.3,0.4,2.3,6.0,65.3,0.1
261,해남,2014-05-05,11.0,4.7,17.4,0.0,2.2,0.4,53.5,11.6
261,해남,2014-05-06,11.3,3.7,19.4,0.0,1.7,1.4,57.8,12.6
261,해남,2014-05-07,14.9,3.7,21.0,0.0,2.1,4.7,55.5,11.2
261,해남,2014-05-08,15.5,8.7,18.9,0.0,3.4,10.4,72.4,8.7
261,해남,2014-05-09,15.1,6.6,24.9,0.0,1.7,6.9,63.4,11.5
261,해남,2014-05-10,18.5,12.1,22.5,0.0,4.3,4.1,40.1,11.0
261,해남,2014-05-11,18.6,16.2,21.9,40.0,6.0,12.6,69.3,3.6
261,해남,2014-05-12,17.3,13.4,21.8,6.5,2.5,11.8,72.6,10.1
261,해남,2014-05-13,18.1,10.2,25.5,0.0,1.4,12.6,72.8,11.2
261,해남,2014-05-14,15.7,14.1,17.3,16.0,2.0,13.2,85.3,0.0
261,해남,2014-05-15,17.0,13.0,21.7,0.0,2.5,11.1,70.6,10.1
261,해남,2014-05-16,17.5,9.6,24.0,0.0,1.6,9.6,64.9,10.8
261,해남,2014-05-17,18.1,11.4,26.4,0.0,1.5,6.9,56.4,12.1
261,해남,2014-05-18,18.5,10.7,26.8,0.0,1.3,10.0,63.5,9.4
261,해남,2014-05-19,19.8,11.7,27.4,0.0,1.5,11.0,61.9,11.0
261,해남,2014-05-20,17.5,15.8,20.7,32.0,2.0,15.3,87.4,0.3
261,해남,2014-05-21,18.0,14.6,22.6,0.0,2.3,14.3,80.1,9.2
261,해남,2014-05-22,19.5,12.8,26.5,0.0,1.6,14.9,76.5,9.2
261,해남,2014-05-23,19.3,15.6,23.8,0.0,2.5,14.7,76.1,10.3
261,해남,2014-05-24,20.5,14.2,26.1,0.0,1.5,14.8,72.0,6.2
261,해남,2014-05-25,19.6,17.1,22.0,7.5,3.7,16.7,84.3,0.1
261,해남,2014-05-26,19.7,13.3,25.9,0.1,2.5,10.9,65.4,9.8
261,해남,2014-05-27,20.1,13.0,26.8,0.0,1.7,13.9,70.8,8.6
261,해남,2014-05-28,21.2,17.5,25.8,0.0,2.9,15.5,71.6,9.7
261,해남,2014-05-29,21.8,16.1,29.5,0.0,1.7,14.8,68.3,10.6
261,해남,2014-05-30,22.1,13.4,30.4,0.0,1.5,10.0,54.4,12.8
261,해남,2014-05-31,22.1,14.9,30.0,0.0,1.7,14.3,65.6,12.6
261,해남,2014-06-01,21.3,16.2,26.2,0.0,1.9,14.8,68.6,0.0
261,해남,2014-06-02,19.6,17.8,21.7,26.7,5.6,15.9,79.6,0.3
261,해남,2014-06-03,19.5,18.3,20.3,14.5,3.9,17.4,87.9,0.0
261,해남,2014-06-04,21.8,19.0,25.8,10.0,3.5,17.3,76.1,2.3
261,해남,2014-06-05,21.9,18.1,26.4,0.0,1.6,17.3,76.0,2.2
261,해남,2014-06-06,21.0,17.8,25.7,0.0,1.3,16.9,78.5,3.1
261,해남,2014-06-07,21.3,16.0,26.0,0.0,1.7,16.6,76.4,9.8
261,해남,2014-06-08,20.8,17.7,25.4,0.0,1.4,16.5,77.9,3.2
261,해남,2014-06-09,20.8,17.9,25.0,0.0,2.1,16.9,78.8,2.3
261,해남,2014-06-10,22.0,19.9,25.7,0.0,2.4,17.3,75.0,3.7
261,해남,2014-06-11,22.2,18.9,27.6,0.5,2.0,16.8,72.9,8.8
261,해남,2014-06-12,20.4,16.9,24.6,5.0,1.9,16.2,77.6,4.0
261,해남,2014-06-13,21.6,17.5,25.6,0.0,2.0,17.1,76.5,4.5
261,해남,2014-06-14,22.1,18.1,27.6,0.0,1.7,16.9,74.1,7.9
261,해남,2014-06-15,21.8,16.4,27.3,0.0,1.6,15.6,70.4,7.6
261,해남,2014-06-16,22.2,18.1,28.1,0.0,1.5,17.1,74.6,3.6
261,해남,2014-06-17,20.2,19.4,21.4,8.0,2.1,16.1,78.1,0.4
261,해남,2014-06-18,22.4,18.8,27.5,0.0,1.6,16.9,72.8,3.1
261,해남,2014-06-19,22.8,18.4,29.3,0.0,1.6,18.0,76.3,8.8
261,해남,2014-06-20,22.3,18.6,25.6,0.0,2.4,18.1,77.9,1.0
261,해남,2014-06-21,22.0,20.5,24.2,2.5,2.9,17.8,77.6,0.4
261,해남,2014-06-22,21.4,19.6,25.1,0.0,1.1,18.2,82.8,0.0
261,해남,2014-06-23,22.0,19.5,25.3,0.0,1.6,18.6,81.5,1.0
261,해남,2014-06-24,22.4,19.7,26.5,0.0,2.1,18.6,80.0,5.2
261,해남,2014-06-25,22.6,20.1,26.7,0.0,1.5,18.1,77.3,1.8
261,해남,2014-06-26,22.6,19.1,27.2,0.0,1.2,18.5,79.0,2.6
261,해남,2014-06-27,23.3,17.8,30.0,0.0,1.7,18.1,74.4,7.3
261,해남,2014-06-28,23.5,19.9,28.2,0.0,2.3,18.4,75.3,8.1
261,해남,2014-06-29,23.3,17.8,28.3,0.0,2.0,18.4,75.8,11.9
261,해남,2014-06-30,23.9,20.5,28.7,0.0,1.6,19.4,77.9,6.2
261,해남,2014-07-01,23.5,19.6,28.8,0.0,1.3,19.3,78.5,4.2
261,해남,2014-07-02,20.9,19.6,23.1,7.5,2.2,17.7,82.8,0.0
261,해남,2014-07-03,21.7,20.3,23.3,3.5,2.5,19.6,88.5,0.0
261,해남,2014-07-04,22.7,21.1,25.5,1.0,1.1,19.8,84.3,0.2
261,해남,2014-07-05,22.1,20.7,23.7,1.5,2.6,18.8,82.0,0.0
261,해남,2014-07-06,21.3,20.0,23.0,20.5,3.9,18.8,86.3,0.0
261,해남,2014-07-07,22.9,21.0,25.4,0.0,2.3,20.4,86.4,0.3
261,해남,2014-07-08,25.0,22.4,28.4,0.2,3.1,22.4,85.9,2.5
261,해남,2014-07-09,26.3,24.7,28.5,7.0,5.0,22.3,79.3,0.5
261,해남,2014-07-10,25.7,22.8,29.2,0.0,3.2,22.1,81.1,8.2
261,해남,2014-07-11,24.7,20.3,30.1,0.0,1.6,20.0,76.6,5.5
261,해남,2014-07-12,24.4,22.0,29.3,0.5,0.9,20.7,81.1,0.0
261,해남,2014-07-13,23.2,20.9,27.0,16.5,1.6,20.3,84.4,2.0
261,해남,2014-07-14,23.9,21.3,28.1,0.0,1.4,20.8,83.8,6.8
261,해남,2014-07-15,23.1,21.2,26.2,3.0,1.3,20.8,87.5,0.0
261,해남,2014-07-16,23.9,22.0,27.6,7.0,1.2,21.7,87.6,0.0
261,해남,2014-07-17,24.2,21.6,26.8,6.0,1.4,22.3,89.6,0.0
261,해남,2014-07-18,25.7,23.6,28.8,0.1,2.1,23.6,88.9,0.1
261,해남,2014-07-19,25.5,22.8,30.9,10.0,2.0,22.6,85.0,6.2
261,해남,2014-07-20,26.0,23.2,31.0,0.0,1.5,22.7,83.1,4.0
261,해남,2014-07-21,25.3,21.7,29.8,0.0,1.4,22.8,86.8,8.4
261,해남,2014-07-22,26.0,21.5,29.7,0.0,1.9,22.9,83.6,6.1
261,해남,2014-07-23,27.3,23.4,31.2,0.0,2.2,24.2,84.0,6.9
261,해남,2014-07-24,28.4,26.4,31.6,0.5,2.4,25.3,84.1,2.3
261,해남,2014-07-25,28.6,25.6,31.6,0.0,4.2,24.7,79.9,8.1
261,해남,2014-07-26,25.4,21.0,29.4,0.2,2.7,21.1,78.3,7.9
261,해남,2014-07-27,24.2,19.6,31.0,0.0,1.3,18.7,74.9,11.7
261,해남,2014-07-28,21.5,18.8,24.9,31.5,2.8,18.1,81.4,0.0
261,해남,2014-07-29,25.5,22.3,29.1,0.0,3.1,22.3,82.9,8.3
261,해남,2014-07-30,27.5,24.0,31.6,0.0,2.7,22.5,75.5,11.5
261,해남,2014-07-31,28.6,23.8,33.6,0.0,2.9,22.5,71.1,11.4
261,해남,2014-08-01,27.4,25.0,30.7,5.5,5.1,22.0,73.3,1.2
261,해남,2014-08-02,25.4,23.6,28.1,150.5,8.3,22.5,84.5,0.0
261,해남,2014-08-03,24.0,23.4,25.4,33.5,3.8,22.5,91.4,0.0
261,해남,2014-08-04,24.2,23.6,24.7,39.0,2.4,22.9,92.9,0.0
261,해남,2014-08-05,26.4,23.4,31.0,0.0,1.3,23.2,83.9,7.8
261,해남,2014-08-06,26.7,22.9,31.7,0.0,1.4,23.8,85.1,7.2
261,해남,2014-08-07,25.9,23.5,29.8,0.2,1.3,23.4,86.9,0.9
261,해남,2014-08-08,25.8,23.8,29.9,0.0,2.9,21.2,76.3,3.4
261,해남,2014-08-09,25.9,20.6,32.2,0.2,1.4,21.2,77.0,7.5
261,해남,2014-08-10,24.7,22.6,28.9,0.5,1.8,21.1,81.4,4.9
261,해남,2014-08-11,24.2,21.8,28.4,0.2,2.6,19.1,74.1,8.0
261,해남,2014-08-12,24.9,21.1,30.4,0.0,1.7,21.3,81.8,7.7
261,해남,2014-08-13,24.5,22.3,28.0,0.0,1.0,21.7,85.4,0.0
261,해남,2014-08-14,22.7,20.9,25.1,4.0,1.2,20.9,90.1,0.0
261,해남,2014-08-15,23.9,21.5,28.2,4.0,1.6,21.1,85.0,0.3
261,해남,2014-08-16,24.2,18.3,31.3,0.0,1.2,20.3,80.8,10.5
261,해남,2014-08-17,23.4,21.3,26.3,8.0,2.6,20.5,84.0,0.0
261,해남,2014-08-18,24.5,22.1,27.7,20.5,3.0,22.6,89.8,0.0
261,해남,2014-08-19,23.6,21.7,27.2,3.5,1.3,21.5,88.5,0.0
261,해남,2014-08-20,24.1,22.1,26.8,5.5,1.0,22.4,90.6,0.0
261,해남,2014-08-21,24.1,21.4,26.9,1.0,2.8,21.5,86.3,2.7
261,해남,2014-08-22,24.1,20.3,30.1,0.0,1.3,21.0,83.9,8.0
261,해남,2014-08-23,24.3,19.3,30.0,0.0,1.1,20.2,80.4,6.3
261,해남,2014-08-24,24.1,21.8,26.6,10.0,1.7,22.3,90.0,0.0
261,해남,2014-08-25,25.7,23.7,27.8,42.5,3.1,23.5,87.8,0.6
261,해남,2014-08-26,25.2,23.1,28.8,0.0,2.5,21.9,82.9,6.0
261,해남,2014-08-27,23.5,21.6,26.3,0.1,1.8,20.8,85.5,0.2
261,해남,2014-08-28,21.6,19.9,23.1,7.0,2.2,19.3,87.6,0.0
261,해남,2014-08-29,21.6,19.5,24.7,11.0,2.6,18.4,82.6,0.1
261,해남,2014-08-30,22.7,18.3,28.1,0.0,1.8,18.5,78.9,10.1
261,해남,2014-08-31,21.4,18.8,25.6,0.5,1.1,18.8,85.9,1.1
261,해남,2014-09-01,22.0,15.5,28.1,0.0,1.8,17.3,77.0,10.5
261,해남,2014-09-02,22.3,19.2,23.5,2.0,3.8,19.2,82.8,0.0
261,해남,2014-09-03,23.4,19.4,26.0,9.5,2.8,21.5,89.5,0.0
261,해남,2014-09-04,23.0,18.6,28.4,0.0,1.4,19.0,80.3,10.3
261,해남,2014-09-05,22.3,16.1,29.9,0.0,1.0,19.0,83.8,9.3
261,해남,2014-09-06,22.6,18.6,28.9,2.0,1.3,19.1,83.1,6.3
261,해남,2014-09-07,23.0,16.3,30.3,0.0,1.1,19.5,83.6,8.4
261,해남,2014-09-08,23.2,18.5,29.7,0.0,1.7,19.8,83.5,10.2
261,해남,2014-09-10,22.0,15.9,27.7,0.0,2.1,14.4,64.8,10.7
261,해남,2014-09-11,20.8,13.7,29.0,0.0,1.1,16.9,80.8,6.6
261,해남,2014-09-12,21.4,18.4,25.0,1.5,1.4,18.2,83.3,0.0
261,해남,2014-09-13,22.1,18.0,27.3,0.0,2.7,16.1,71.4,11.7
261,해남,2014-09-14,21.3,16.4,26.8,0.0,2.1,15.6,72.4,6.9
261,해남,2014-09-15,21.3,15.5,28.1,0.0,1.4,16.3,75.9,4.1
261,해남,2014-09-16,22.1,19.0,27.4,0.0,1.9,16.1,70.0,2.1
261,해남,2014-09-17,20.9,17.1,27.1,0.0,1.5,15.3,72.4,4.8
261,해남,2014-09-18,20.7,17.1,25.4,0.0,1.3,16.4,78.4,1.6
261,해남,2014-09-19,19.4,14.7,22.2,0.0,2.0,14.9,76.0,0.0
261,해남,2014-09-20,19.4,12.5,26.6,0.0,1.7,14.2,75.3,9.9
261,해남,2014-09-21,20.0,14.3,27.5,0.0,1.7,13.7,71.3,7.7
261,해남,2014-09-22,20.9,12.3,27.6,0.0,2.4,14.7,70.6,11.1
261,해남,2014-09-23,21.9,20.1,24.9,24.0,4.1,16.8,74.4,0.1
261,해남,2014-09-24,22.8,20.0,25.7,51.0,2.6,19.8,84.3,0.2
261,해남,2014-09-25,20.8,16.7,26.5,0.0,1.6,17.6,81.3,5.5
261,해남,2014-09-27,21.7,16.4,27.9,0.0,1.6,16.8,72.3,8.6
261,해남,2014-09-28,21.1,14.8,29.4,0.0,1.1,17.5,82.8,8.3
261,해남,2014-09-29,21.3,17.7,25.4,4.5,2.2,18.8,86.8,0.1
261,해남,2014-09-30,20.6,16.9,26.2,2.0,1.4,17.8,85.4,2.6
261,해남,2015-05-01,18.1,12.2,24.9,0.0,1.6,15.0,84.4,8.9
261,해남,2015-05-02,18.6,12.8,22.8,12.5,3.4,15.5,83.5,6.2
261,해남,2015-05-03,17.9,14.4,20.4,11.0,3.0,16.9,94.1,0.0
261,해남,2015-05-04,15.2,11.6,20.9,0.0,3.2,7.3,63.1,9.7
261,해남,2015-05-05,13.0,4.7,20.0,0.0,2.0,3.2,56.5,12.6
261,해남,2015-05-06,13.0,5.3,21.0,0.0,1.2,6.1,66.9,2.3
261,해남,2015-05-07,15.3,6.4,24.3,0.0,1.7,5.8,59.4,12.4
261,해남,2015-05-08,16.2,6.9,24.9,0.0,1.3,6.7,58.1,8.4
261,해남,2015-05-09,17.9,13.2,24.2,0.4,1.8,11.6,69.6,7.8
261,해남,2015-05-10,17.5,11.8,23.7,0.0,2.2,13.0,77.0,10.1
261,해남,2015-05-11,17.1,15.1,20.6,41.5,4.8,13.6,80.8,0.0
261,해남,2015-05-12,16.0,12.7,19.0,7.0,3.7,11.3,74.3,11.4
261,해남,2015-05-13,19.8,15.2,24.3,0.0,3.6,10.0,54.5,12.7
261,해남,2015-05-14,20.3,18.0,24.9,0.0,2.7,16.5,79.1,4.5
261,해남,2015-05-15,19.3,15.9,25.2,10.5,1.5,17.2,88.9,3.1
261,해남,2015-05-16,17.7,11.6,23.4,0.0,2.8,10.6,67.9,12.2
261,해남,2015-05-17,17.5,8.6,25.1,0.0,1.6,6.1,56.3,7.5
261,해남,2015-05-18,16.0,14.1,17.7,8.5,1.7,13.5,86.1,0.0
261,해남,2015-05-19,17.6,14.6,25.1,0.0,1.8,15.2,87.1,8.6
261,해남,2015-05-20,17.6,13.2,23.0,0.0,2.6,9.9,65.1,12.8
261,해남,2015-05-21,17.9,10.2,26.3,0.0,2.2,10.4,65.3,11.3
261,해남,2015-05-22,19.5,14.0,27.3,0.0,1.4,9.6,57.1,7.2
261,해남,2015-05-23,18.7,14.7,25.5,0.0,1.3,10.8,62.4,3.8
261,해남,2015-05-24,19.2,12.7,27.2,0.0,1.8,10.5,61.6,12.9
261,해남,2015-05-25,18.5,10.4,26.2,0.0,1.8,10.1,63.5,13.3
261,해남,2015-05-26,20.3,11.8,30.4,0.0,1.6,13.3,69.6,12.7
261,해남,2015-05-27,21.2,12.1,29.6,0.0,1.6,11.2,58.8,11.4
261,해남,2015-05-28,21.6,16.4,28.5,0.0,2.1,12.3,59.5,8.7
261,해남,2015-05-29,21.8,14.5,30.3,0.0,1.5,14.5,67.1,12.4
261,해남,2015-05-30,19.6,17.6,24.1,4.0,2.1,16.4,82.5,1.5
261,해남,2015-05-31,20.2,15.6,28.3,0.0,1.9,15.3,75.6,11.6
261,해남,2015-06-01,20.6,13.9,29.0,0.0,1.7,15.2,74.8,11.1
261,해남,2015-06-02,19.8,16.2,23.6,1.0,1.7,17.3,86.6,0.1
261,해남,2015-06-03,21.8,18.5,27.3,0.0,3.3,10.6,53.4,10.3
261,해남,2015-06-04,21.2,11.4,29.3,0.0,1.8,7.9,49.3,11.6
261,해남,2015-06-05,17.1,13.7,22.3,2.2,1.8,12.8,77.0,3.6
261,해남,2015-06-06,19.1,12.0,25.2,0.0,2.3,13.6,73.3,12.4
261,해남,2015-06-07,20.2,17.0,23.9,0.0,3.4,15.3,74.8,5.1
261,해남,2015-06-08,20.1,18.4,21.8,0.5,2.4,17.6,86.4,0.1
261,해남,2015-06-09,22.4,18.5,28.3,0.0,1.6,18.4,79.6,5.6
261,해남,2015-06-10,22.8,17.1,28.2,0.0,2.4,17.6,75.1,7.7
261,해남,2015-06-11,22.6,21.0,25.9,0.5,3.0,20.3,87.3,0.3
261,해남,2015-06-12,24.4,20.1,30.1,0.0,1.7,18.7,73.3,10.5
261,해남,2015-06-13,23.7,19.8,28.0,0.0,2.6,18.4,73.4,0.9
261,해남,2015-06-14,22.9,20.2,26.9,0.0,3.3,19.3,81.0,1.1
261,해남,2015-06-15,22.6,20.2,26.9,0.0,1.9,19.0,81.4,3.5
261,해남,2015-06-16,22.3,19.6,27.5,0.1,2.1,19.3,84.8,3.8
261,해남,2015-06-17,20.0,18.1,22.9,15.5,2.1,18.7,92.5,0.6
261,해남,2015-06-18,21.9,16.8,28.6,15.5,1.5,18.9,84.5,6.7
261,해남,2015-06-19,22.2,18.7,27.8,0.5,1.3,19.2,84.4,6.0
261,해남,2015-06-20,20.0,18.0,22.9,44.5,1.1,18.7,92.5,0.2
261,해남,2015-06-21,20.9,17.6,25.4,0.0,1.4,18.3,86.1,6.5
261,해남,2015-06-22,21.1,17.0,25.7,0.0,1.4,17.9,83.3,5.4
261,해남,2015-06-23,22.7,17.8,28.3,0.0,1.5,19.5,83.1,8.8
261,해남,2015-06-24,21.1,19.6,23.2,4.7,1.8,19.5,90.9,0.0
261,해남,2015-06-25,21.6,20.5,23.9,27.1,4.4,19.8,90.0,0.1
261,해남,2015-06-26,21.4,19.8,23.5,11.0,4.0,19.9,91.3,1.2
261,해남,2015-06-27,20.6,19.1,23.0,0.0,2.3,19.1,91.3,1.2
261,해남,2015-06-28,21.9,18.6,26.6,0.0,2.0,19.4,86.4,7.3
261,해남,2015-06-29,21.5,18.9,25.3,0.0,1.8,19.4,88.5,2.2
261,해남,2015-06-30,20.1,19.0,21.6,42.0,1.6,19.0,93.8,0.0
261,해남,2015-07-01,21.5,17.2,25.7,0.1,2.3,19.3,87.6,6.2
261,해남,2015-07-02,20.9,14.5,25.5,0.0,1.0,18.6,87.1,9.1
261,해남,2015-07-03,22.8,17.9,26.9,0.0,1.7,18.7,79.8,8.9
261,해남,2015-07-04,21.0,16.3,26.6,0.0,1.2,18.0,84.4,4.9
261,해남,2015-07-05,21.1,16.4,25.8,0.0,0.9,18.0,83.8,6.1
261,해남,2015-07-06,20.6,16.9,24.6,0.2,0.9,18.9,90.4,1.4
261,해남,2015-07-07,19.7,18.5,20.8,22.0,2.8,18.4,92.9,0.0
261,해남,2015-07-08,22.7,19.8,25.0,2.1,3.0,21.6,93.8,0.0
261,해남,2015-07-09,24.7,22.1,28.7,2.8,3.4,23.0,91.0,5.7
261,해남,2015-07-10,26.7,22.9,31.3,0.0,3.3,23.7,84.1,12.7
261,해남,2015-07-11,25.1,23.8,28.0,45.6,5.1,23.3,90.3,0.0
261,해남,2015-07-12,24.0,21.5,25.5,137.2,8.1,22.8,93.8,0.0
261,해남,2015-07-13,22.8,20.8,25.8,2.5,4.2,21.3,92.1,3.1
261,해남,2015-07-14,24.2,19.8,29.2,0.0,1.0,22.6,91.3,4.8
261,해남,2015-07-15,25.1,21.1,30.4,0.0,0.9,23.0,89.0,7.2
261,해남,2015-07-16,24.6,20.8,29.0,0.0,1.2,22.1,87.3,5.9
261,해남,2015-07-17,23.5,20.6,28.8,0.0,1.7,21.4,88.9,6.5
261,해남,2015-07-18,23.2,20.8,26.6,0.0,2.4,20.9,87.6,7.6
261,해남,2015-07-19,24.8,19.2,30.3,0.0,2.2,21.6,83.6,8.5
261,해남,2015-07-20,25.2,24.0,28.2,0.0,1.5,23.9,93.4,0.2
261,해남,2015-07-21,25.1,23.5,27.6,0.0,1.4,23.9,93.5,0.6
261,해남,2015-07-22,25.5,22.6,29.0,0.2,1.5,24.1,92.8,2.5
261,해남,2015-07-23,26.2,24.2,28.2,10.1,4.4,24.9,93.0,0.4
261,해남,2015-07-24,25.8,24.8,27.1,1.0,4.1,24.6,93.5,0.0
261,해남,2015-07-25,26.7,23.2,30.5,0.3,2.7,23.6,84.3,5.9
261,해남,2015-07-26,26.7,22.2,32.2,0.0,1.9,23.9,85.6,10.5
261,해남,2015-07-27,25.1,21.5,29.0,0.0,0.9,23.9,93.3,1.0
261,해남,2015-07-28,26.5,23.3,29.7,0.2,0.7,25.2,92.9,1.6
261,해남,2015-07-29,27.6,25.6,30.9,0.0,2.0,26.3,93.1,8.8
261,해남,2015-07-30,27.7,25.6,31.5,0.0,1.6,26.0,91.1,6.4
261,해남,2015-07-31,27.1,23.6,30.7,0.0,1.7,25.3,90.4,10.2
261,해남,2015-08-01,26.8,24.1,31.2,0.0,1.6,24.9,89.9,10.4
261,해남,2015-08-02,27.3,23.6,31.3,0.0,1.6,25.1,88.8,6.2
261,해남,2015-08-03,26.5,22.1,31.2,0.0,1.8,23.7,85.6,11.9
261,해남,2015-08-04,27.2,22.7,31.6,0.0,2.4,24.5,85.9,10.4
261,해남,2015-08-05,27.3,22.6,32.7,0.0,1.8,24.8,87.5,11.0
261,해남,2015-08-06,27.4,21.4,33.2,0.0,1.4,23.3,80.3,12.8
261,해남,2015-08-07,27.5,21.6,34.1,0.0,1.4,23.8,81.9,9.6
261,해남,2015-08-08,27.4,23.8,34.1,0.1,1.2,24.8,86.8,9.3
261,해남,2015-08-09,26.7,22.0,33.7,0.0,1.2,23.9,85.4,9.5
261,해남,2015-08-10,25.9,20.9,32.0,0.0,1.1,23.1,85.4,3.4
261,해남,2015-08-11,23.2,20.7,25.8,24.9,2.0,21.7,91.9,0.0
261,해남,2015-08-12,24.3,21.4,27.5,0.0,3.1,22.4,89.9,1.9
261,해남,2015-08-13,24.9,20.4,29.1,0.0,1.4,22.5,87.8,6.1
261,해남,2015-08-14,23.9,18.4,30.6,0.0,1.1,21.3,86.9,9.6
261,해남,2015-08-15,25.1,19.0,31.8,0.0,1.0,21.6,82.8,11.9
261,해남,2015-08-16,24.3,19.4,28.8,0.1,1.0,22.3,89.3,0.1
261,해남,2015-08-17,24.7,20.1,29.4,0.0,0.9,21.9,85.5,5.7
261,해남,2015-08-18,24.5,20.6,29.4,0.0,1.2,22.0,87.1,3.7
261,해남,2015-08-19,25.1,21.1,28.7,0.0,1.4,22.6,86.8,2.9
261,해남,2015-08-20,24.7,22.9,26.2,9.9,0.9,23.6,93.6,0.0
261,해남,2015-08-21,24.5,22.4,28.0,105.3,1.7,22.7,89.9,3.7
261,해남,2015-08-22,23.7,22.1,27.0,1.4,0.5,22.5,93.5,0.0
261,해남,2015-08-23,24.5,22.7,27.7,1.4,0.1,23.1,92.0,0.2
261,해남,2015-08-24,24.4,22.1,25.9,0.0,3.3,22.2,88.0,0.0
261,해남,2015-08-25,22.2,20.8,24.1,12.6,2.3,21.0,93.3,0.0
261,해남,2015-08-26,22.3,17.6,27.4,0.0,1.9,19.3,84.3,12.4
261,해남,2015-08-27,22.3,16.7,27.8,0.0,1.2,20.6,90.6,9.0
261,해남,2015-08-28,23.1,18.8,28.6,0.0,1.0,20.8,88.0,9.0
261,해남,2015-08-29,22.0,17.6,28.0,0.0,0.5,19.1,86.1,6.4
261,해남,2015-08-30,25.1,21.8,28.3,0.0,0.5,22.9,87.5,6.3
261,해남,2015-08-31,24.6,20.2,29.0,0.0,1.3,22.4,87.6,7.8
261,해남,2015-09-01,23.3,19.7,28.2,0.0,1.3,21.6,89.6,7.2
261,해남,2015-09-02,24.0,18.7,29.2,1.7,2.0,22.1,89.8,8.5
261,해남,2015-09-03,23.6,19.2,28.5,2.8,1.9,21.4,88.4,8.8
261,해남,2015-09-04,23.8,19.4,30.0,0.0,1.5,20.8,84.9,9.4
261,해남,2015-09-05,21.3,18.7,25.9,18.6,2.4,19.9,92.0,0.2
261,해남,2015-09-06,22.1,19.0,26.2,4.7,2.4,20.0,88.6,4.8
261,해남,2015-09-07,21.2,17.1,26.4,0.1,1.1,17.9,83.1,5.3
261,해남,2015-09-08,20.3,15.1,27.3,0.0,1.3,15.4,75.6,12.0
261,해남,2015-09-09,19.7,12.2,26.9,0.0,1.5,14.8,76.1,11.8
261,해남,2015-09-10,20.3,12.5,28.3,0.0,1.6,15.3,76.5,11.6
261,해남,2015-09-11,20.4,13.0,27.5,0.0,1.2,17.2,84.1,8.4
261,해남,2015-09-12,19.6,15.0,22.7,3.3,1.3,18.2,92.0,0.0
261,해남,2015-09-13,18.1,12.0,25.2,0.0,1.2,13.0,75.6,11.9
261,해남,2015-09-14,18.3,11.8,26.7,0.0,1.1,13.8,77.9,8.3
261,해남,2015-09-15,18.9,12.0,26.4,0.0,2.0,14.6,78.0,8.9
261,해남,2015-09-16,19.2,15.8,23.2,0.0,1.3,15.9,82.1,0.5
261,해남,2015-09-17,19.4,13.4,27.4,0.0,1.3,15.7,81.6,11.1
261,해남,2015-09-18,19.2,13.2,26.9,0.0,1.0,16.6,86.0,8.0
261,해남,2015-09-19,19.3,13.2,26.9,0.0,0.9,16.5,85.4,7.5
261,해남,2015-09-20,19.7,12.5,27.3,0.0,1.0,16.7,85.0,7.7
261,해남,2015-09-21,19.7,13.8,28.7,0.4,0.8,17.4,87.5,6.5
261,해남,2015-09-22,20.2,13.2,26.8,0.0,2.5,17.6,85.9,9.5
261,해남,2015-09-23,19.6,19.0,21.1,29.0,2.8,18.4,93.0,0.0
261,해남,2015-09-24,21.2,15.9,27.4,0.0,1.1,18.9,87.8,6.1
261,해남,2015-09-25,20.7,16.7,26.4,0.0,0.5,18.4,87.8,1.4
261,해남,2015-09-26,19.9,15.1,27.3,0.0,1.2,17.1,85.9,7.0
261,해남,2015-09-27,19.7,13.3,28.7,0.0,0.7,15.8,81.6,9.0
261,해남,2015-09-28,19.7,11.6,29.0,0.0,1.2,15.3,79.9,6.9
261,해남,2015-09-29,20.8,11.8,29.7,0.0,1.7,14.5,72.5,10.3
261,해남,2015-09-30,18.5,17.5,20.5,7.3,4.4,16.8,89.9,0.0
261,해남,2016-05-01,16.5,6.2,24.5,0.0,1.9,8.4,64.9,11.5
261,해남,2016-05-02,18.3,11.6,22.2,17.2,4.5,16.9,92.0,3.4
261,해남,2016-05-03,15.2,11.3,20.0,20.8,5.5,13.1,87.9,1.8
261,해남,2016-05-04,14.4,6.9,21.7,0.0,2.6,9.3,74.9,12.5
261,해남,2016-05-05,16.3,6.6,23.1,0.9,3.1,11.5,77.0,4.3
261,해남,2016-05-06,17.8,13.7,22.3,0.3,3.3,16.6,93.0,0.5
261,해남,2016-05-07,16.2,10.5,22.8,0.0,2.7,7.9,62.3,9.7
261,해남,2016-05-08,16.2,6.2,23.2,0.0,2.1,9.0,66.0,3.1
261,해남,2016-05-09,15.5,13.5,19.4,2.4,1.1,13.4,88.1,0.0
261,해남,2016-05-10,13.8,12.3,15.5,19.8,1.7,13.0,94.8,0.0
261,해남,2016-05-11,15.5,10.6,22.5,0.0,1.6,12.6,84.1,7.4
261,해남,2016-05-12,16.4,8.4,24.1,0.0,1.3,13.2,82.5,13.0
